year,origin,destination,submissions
2015,Sudan,Germany,131
2015,Iraq,Norway,5
2015,Dem. Rep. of the Congo,New Zealand,9
2015,Eritrea,Canada,149
2015,Syrian Arab Rep.,New Zealand,604
2015,Bhutan,USA,3952
2015,Sudan,Canada,64
2015,Eritrea,Netherlands,8
2015,Dem. Rep. of the Congo,Netherlands,50
2015,Eritrea,Norway,12
2015,Iran (Islamic Rep. of),Denmark,4
2015,Iraq,Canada,1863
2015,Iran (Islamic Rep. of),Netherlands,4
2015,Iran (Islamic Rep. of),France,9
2015,Syrian Arab Rep.,Denmark,336
2015,Iran (Islamic Rep. of),Australia,139
2015,Iraq,Denmark,5
2015,Sudan,UK,136
2015,Dem. Rep. of the Congo,Australia,168
2015,Iraq,UK,149
2015,Eritrea,Australia,50
2015,Afghanistan,Norway,256
2015,Bhutan,Canada,154
2015,Syrian Arab Rep.,Canada,18192
2015,Afghanistan,New Zealand,95
2015,Somalia,Sweden,80
2015,Somalia,USA,9551
2015,Somalia,Netherlands,11
2015,Iraq,Switzerland,119
2015,Dem. Rep. of the Congo,UK,191
2015,Dem. Rep. of the Congo,USA,19048
2015,Iran (Islamic Rep. of),New Zealand,34
2015,Syrian Arab Rep.,Switzerland,454
2015,Sudan,Finland,13
2015,Dem. Rep. of the Congo,Finland,232
2015,Syrian Arab Rep.,Austria,612
2015,Eritrea,Portugal,1
2015,Afghanistan,Sweden,95
2015,Bhutan,Australia,214
2015,Syrian Arab Rep.,Germany,448
2015,Eritrea,New Zealand,1
2015,Somalia,Australia,28
2015,Somalia,Germany,49
2015,Syrian Arab Rep.,UK,2721
2015,Iraq,Italy,59
2015,Dem. Rep. of the Congo,Canada,447
2015,Sudan,USA,3793
2015,Iraq,Australia,1337
2015,Syrian Arab Rep.,Italy,369
2015,Sudan,Australia,12
2015,Dem. Rep. of the Congo,Sweden,144
2015,Syrian Arab Rep.,Czechia,205
2015,Eritrea,France,37
2015,Afghanistan,Denmark,21
2015,Bhutan,New Zealand,156
2015,Syrian Arab Rep.,Finland,763
2015,Syrian Arab Rep.,Sweden,707
2015,Afghanistan,Finland,215
2015,Iraq,Ireland,64
2015,Somalia,Canada,74
2015,Syrian Arab Rep.,Australia,5317
2015,Myanmar,Rep. of Korea,38
2015,Dem. Rep. of the Congo,Belgium,14
2015,Syrian Arab Rep.,USA,16306
2015,Iraq,New Zealand,46
2015,Syrian Arab Rep.,Iceland,63
2015,Sudan,Norway,21
2015,Afghanistan,USA,3308
2015,Syrian Arab Rep.,Spain,6
2015,Eritrea,Sweden,134
2015,Afghanistan,France,7
2015,Bhutan,Denmark,1
2015,Syrian Arab Rep.,France,1315
2015,Iran (Islamic Rep. of),Canada,484
2015,Iraq,Czechia,23
2015,Somalia,Denmark,17
2015,Eritrea,Finland,4
2015,Myanmar,Denmark,5
2015,Dem. Rep. of the Congo,Denmark,171
2015,Eritrea,USA,2968
2015,Myanmar,New Zealand,446
2015,Syrian Arab Rep.,Monaco,13
2015,Sudan,Sweden,42
2015,Afghanistan,Canada,71
2015,Syrian Arab Rep.,Hungary,23
2015,Iran (Islamic Rep. of),USA,2248
2015,Myanmar,Sweden,5
2015,Myanmar,France,1
2016,Afghanistan,France,2
2016,Somalia,Sweden,254
2016,Afghanistan,New Zealand,30
2016,Afghanistan,Canada,260
2016,Syrian Arab Rep.,Belgium,396
2016,Syrian Arab Rep.,Croatia,35
2016,Syrian Arab Rep.,Finland,997
2016,Syrian Arab Rep.,New Zealand,421
2016,Syrian Arab Rep.,Switzerland,866
2016,Eritrea,UK,34
2016,Syrian Arab Rep.,France,4280
2016,Dem. Rep. of the Congo,Norway,33
2016,Syrian Arab Rep.,Norway,3581
2016,Sudan,Finland,1
2016,Sudan,Australia,11
2016,Eritrea,New Zealand,3
2016,Eritrea,Norway,9
2016,Syrian Arab Rep.,Czechia,105
2016,Syrian Arab Rep.,Hungary,4
2016,Syrian Arab Rep.,UK,7476
2016,Eritrea,Austria,2
2016,Afghanistan,Austria,4
2016,Iraq,Australia,912
2016,Iran (Islamic Rep. of),Austria,4
2016,Dem. Rep. of the Congo,Sweden,439
2016,Iraq,Norway,13
2016,Afghanistan,USA,2095
2016,Iraq,Czechia,2
2016,Myanmar,Denmark,1
2016,Sudan,Canada,76
2016,Iran (Islamic Rep. of),Australia,171
2016,Iran (Islamic Rep. of),Canada,11
2016,Syrian Arab Rep.,Denmark,5
2016,Dem. Rep. of the Congo,USA,20962
2016,Syrian Arab Rep.,Lithuania,85
2016,Syrian Arab Rep.,Netherlands,1190
2016,Iraq,Denmark,8
2016,Myanmar,Japan,49
2016,Iraq,Canada,375
2016,Afghanistan,Sweden,180
2016,Dem. Rep. of the Congo,Denmark,19
