Year,Country of Origin (ISO),origin,Country of Resettlement (ISO),destination,submissions
2014,MMR,Myanmar,NOR,Norway,3
2014,ERI,Eritrea,AUT,Austria,3
2014,COD,Dem. Rep. of the Congo,BEL,Belgium,85
2014,ERI,Eritrea,CAN,Canada,1488
2014,BTN,Bhutan,CAN,Canada,423
2014,AFG,Afghanistan,DEU,Germany,26
2014,SDN,Sudan,CAN,Canada,300
2014,SYR,Syrian Arab Rep.,ISL,Iceland,14
2014,SYR,Syrian Arab Rep.,CZE,Czechia,11
2014,SOM,Somalia,NOR,Norway,52
2014,IRQ,Iraq,NZL,New Zealand,109
2014,MMR,Myanmar,DNK,Denmark,1
2014,AFG,Afghanistan,FIN,Finland,206
2014,SYR,Syrian Arab Rep.,NZL,New Zealand,122
2014,SYR,Syrian Arab Rep.,BEL,Belgium,96
2014,AFG,Afghanistan,USA,United States of America,1894
2014,SOM,Somalia,NZL,New Zealand,82
2014,IRN,Iran (Islamic Rep. of),FIN,Finland,2
2014,IRQ,Iraq,GBR,United Kingdom of Great Britain and Northern Ireland,110
2014,COD,Dem. Rep. of the Congo,NLD,Netherlands,100
2014,IRQ,Iraq,SWE,Sweden,12
2014,COD,Dem. Rep. of the Congo,SWE,Sweden,214
2014,ERI,Eritrea,AUS,Australia,117
2014,BTN,Bhutan,AUS,Australia,17
2014,IRN,Iran (Islamic Rep. of),AUS,Australia,323
2014,SDN,Sudan,NLD,Netherlands,14
2014,COD,Dem. Rep. of the Congo,NZL,New Zealand,4
2014,IRN,Iran (Islamic Rep. of),GBR,United Kingdom of Great Britain and Northern Ireland,4
2014,MMR,Myanmar,SWE,Sweden,7
2014,IRQ,Iraq,CAN,Canada,2990
2014,MMR,Myanmar,FIN,Finland,1
2014,AFG,Afghanistan,ISL,Iceland,10
2014,SYR,Syrian Arab Rep.,FRA,France,544
2014,MMR,Myanmar,CAN,Canada,731
2014,AFG,Afghanistan,NOR,Norway,292
2014,SOM,Somalia,FRA,France,13
2014,IRN,Iran (Islamic Rep. of),DNK,Denmark,4
2014,SOM,Somalia,SWE,Sweden,372
2014,COD,Dem. Rep. of the Congo,DNK,Denmark,143
2014,ERI,Eritrea,PRT,Portugal,14
2014,BTN,Bhutan,NZL,New Zealand,211
2014,IRN,Iran (Islamic Rep. of),NZL,New Zealand,24
2014,SDN,Sudan,PRT,Portugal,8
2014,IRN,Iran (Islamic Rep. of),ISL,Iceland,4
2014,ERI,Eritrea,FIN,Finland,3
2014,SDN,Sudan,GBR,United Kingdom of Great Britain and Northern Ireland,1
2014,IRQ,Iraq,CZE,Czechia,9
2014,MMR,Myanmar,NLD,Netherlands,1
2014,AFG,Afghanistan,NLD,Netherlands,9
2014,SYR,Syrian Arab Rep.,PRT,Portugal,27
2014,MMR,Myanmar,JPN,Japan,58
2014,AFG,Afghanistan,AUS,Australia,1167
2014,SOM,Somalia,CAN,Canada,303
2014,IRN,Iran (Islamic Rep. of),NOR,Norway,7
2014,SOM,Somalia,GBR,United Kingdom of Great Britain and Northern Ireland,215
2014,IRN,Iran (Islamic Rep. of),BEL,Belgium,1
2014,SYR,Syrian Arab Rep.,AUT,Austria,457
2014,COD,Dem. Rep. of the Congo,FIN,Finland,199
2014,ERI,Eritrea,SWE,Sweden,173
2014,BTN,Bhutan,DNK,Denmark,3
2014,IRQ,Iraq,AUS,Australia,1220
2014,SDN,Sudan,FRA,France,14
2014,COD,Dem. Rep. of the Congo,CHE,Switzerland,2
2014,IRQ,Iraq,FRA,France,9
2014,IRN,Iran (Islamic Rep. of),CAN,Canada,784
2014,IRQ,Iraq,DNK,Denmark,21
2014,SDN,Sudan,SWE,Sweden,8
2014,IRN,Iran (Islamic Rep. of),NLD,Netherlands,12
2014,SYR,Syrian Arab Rep.,GBR,United Kingdom of Great Britain and Northern Ireland,242
2014,AFG,Afghanistan,FRA,France,6
2014,MMR,Myanmar,GBR,United Kingdom of Great Britain and Northern Ireland,3
2014,IRN,Iran (Islamic Rep. of),USA,United States of America,1434
2014,MMR,Myanmar,USA,United States of America,13055
2014,SOM,Somalia,PRT,Portugal,1
2014,IRN,Iran (Islamic Rep. of),FRA,France,2
2014,SYR,Syrian Arab Rep.,FIN,Finland,629
2014,COD,Dem. Rep. of the Congo,MCO,Monaco,10
2014,ERI,Eritrea,NLD,Netherlands,93
2014,BTN,Bhutan,NOR,Norway,16
2014,MMR,Myanmar,DEU,Germany,16
2014,SDN,Sudan,NOR,Norway,25
2014,SYR,Syrian Arab Rep.,CHE,Switzerland,378
2014,SYR,Syrian Arab Rep.,BRA,Brazil,2
2014,IRQ,Iraq,FIN,Finland,37
2014,IRQ,Iraq,DEU,Germany,75
2014,IRN,Iran (Islamic Rep. of),SWE,Sweden,16
2014,SYR,Syrian Arab Rep.,AUS,Australia,588
2014,COD,Dem. Rep. of the Congo,USA,United States of America,14985
2014,SOM,Somalia,NLD,Netherlands,7
2014,MMR,Myanmar,AUS,Australia,1037
2014,SDN,Sudan,USA,United States of America,1951
2014,IRQ,Iraq,MEX,Mexico,1
2014,SYR,Syrian Arab Rep.,ESP,Spain,202
2014,COD,Dem. Rep. of the Congo,AUS,Australia,162
2014,ERI,Eritrea,NOR,Norway,33
2014,BTN,Bhutan,NLD,Netherlands,2
2014,MMR,Myanmar,NZL,New Zealand,257
2014,SYR,Syrian Arab Rep.,USA,United States of America,10200
2014,SYR,Syrian Arab Rep.,URY,Uruguay,188
2014,SOM,Somalia,AUS,Australia,18
2014,IRQ,Iraq,IRL,Ireland,9
2014,IRQ,Iraq,CHE,Switzerland,24
2014,SYR,Syrian Arab Rep.,DNK,Denmark,165
2014,SYR,Syrian Arab Rep.,CAN,Canada,2816
2014,ERI,Eritrea,USA,United States of America,1633
2014,SDN,Sudan,NZL,New Zealand,3
2015,ERI,Eritrea,NLD,Netherlands,8
2015,IRQ,Iraq,PRT,Portugal,3
2015,IRN,Iran (Islamic Rep. of),SWE,Sweden,20
2015,IRQ,Iraq,IRL,Ireland,64
2015,SYR,Syrian Arab Rep.,NOR,Norway,3420
2015,MMR,Myanmar,KOR,Rep. of Korea,38
2015,AFG,Afghanistan,AUS,Australia,848
2015,SYR,Syrian Arab Rep.,USA,United States of America,16306
2015,SDN,Sudan,DEU,Germany,131
2015,IRQ,Iraq,NOR,Norway,5
2015,SYR,Syrian Arab Rep.,ISL,Iceland,63
